"Codigo","Nombre","Resumen","Categoria","Subcategoria","Perfil_recomendado","Dificultad","Coste","Impacto_estimado","Periodo","Guia_ejecucion","Evidencia","Moodle","Fuente","Icono"
"ECO-ENE-009","Aprovechar la luz natural durante el día","Organizar el espacio de trabajo o estudio junto a una ventana elimina el gasto de iluminación artificial","Energía y vivienda","Iluminación","ciudadano; familia; empleado","muy fácil","sin coste","10-30 kg CO2/año","anual","1. Coloca el escritorio o zona de trabajo cerca de la ventana | 2. Limpia los cristales regularmente para maximizar la entrada de luz | 3. Usa cortinas o persianas claras que difuminen sin bloquear la luz | 4. Apaga las luces artificiales cuando la luz natural sea suficiente","Foto del espacio de trabajo con luz natural suficiente sin luces encendidas","Pendiente de vincular","estimación AHC","wb_twilight"
"ECO-ENE-010","Realizar una auditoría energética básica del hogar","Conocer dónde y cuánto consume tu vivienda es el primer paso para reducir","Energía y vivienda","Eficiencia energética","ciudadano; familia","moderada","sin coste","Varía; identificar ahorros potenciales de 200-600 kg CO2/año","anual","1. Anota en una hoja los electrodomésticos y su potencia (W) | 2. Estima las horas de uso diario de cada uno | 3. Calcula kWh/año: (potencia x horas x 365) / 1000 | 4. Identifica los 3 mayores consumidores y diseña un plan de reducción | 5. Compara facturas de los últimos 12 meses","Tabla de auditoría completada con los 5 mayores consumidores","Pendiente de vincular","IDAE - Guía de Ahorro y Eficiencia Energética","energy_savings_leaf"
"ECO-ALI-001","Reducir el consumo de carne de vacuno a máximo 1 vez por semana","La carne de vacuno emite hasta 27 kg CO2 por kg producido — el alimento con mayor huella","Alimentación","Dieta y proteínas","ciudadano; familia","moderada","sin coste","300-600 kg CO2/año pasando de consumo diario a semanal","anual","1. Identifica los días que consumes ternera o buey y los platos implicados | 2. Sustitúyelos por legumbres, pollo, cerdo o pescado (menor huella) | 3. Cuando comas vacuno elige producción nacional y extensiva | 4. Prueba recetas nuevas con tofu, tempeh o seitán una vez a la semana","Registro de menús semanales en una app de alimentación o cuaderno","Pendiente de vincular","FAO - Livestock's Long Shadow; MITECO","set_meal"
"ECO-ALI-002","Planificar el menú semanal antes de hacer la compra","Planificar evita comprar de más y reduce el desperdicio alimentario, responsable del 8% de las emisiones globales","Alimentación","Planificación y preparación de comidas","ciudadano; familia","muy fácil","sin coste","50-150 kg CO2/año reduciendo desperdicio en un hogar medio","anual","1. Cada domingo dedica 10 minutos a planificar los menús de la semana | 2. Haz la lista de la compra basándote en el menú | 3. Compra solo lo que está en la lista | 4. Revisa la nevera antes de ir al super para usar lo que ya tienes","Foto del menú semanal escrito o en app","Pendiente de vincular","FAO; WRAP - The food we waste","menu_book"
"ECO-ALI-003","Comprar productos de temporada y proximidad","Los alimentos de temporada y locales tienen una huella entre 3 y 5 veces menor que los importados fuera de temporada","Alimentación","Apoyo a la agricultura local","ciudadano; familia","fácil","sin coste","80-200 kg CO2/año sustituyendo el 50% de la compra","anual","1. Descarga un calendario de temporada de frutas y verduras de tu región | 2. Prioriza el mercado local o la sección de producto nacional en el super | 3. Únete a un grupo de consumo o CSA de tu barrio | 4. Conserva excedentes (congelación, mermeladas) cuando hay picos de producción","Ticket de compra en mercado local o CSA","Pendiente de vincular","Manual de Buenas Prácticas AHC; CompartoClima","agriculture"
"ECO-ALI-004","Sustituir una comida diaria por una opción vegetal o vegetariana","Una dieta plant-based puede reducir la huella alimentaria personal hasta un 50%","Alimentación","Dieta y proteínas","ciudadano; familia","fácil","sin coste","150-400 kg CO2/año en función del punto de partida","anual","1. Elige la comida del mediodía o la cena para hacer vegetariana | 2. Explora recetas con legumbres, huevo, queso, tofu o seitán | 3. Empieza con un día a la semana y aumenta progresivamente | 4. Sigue cuentas de cocina plant-based para inspirarte","Foto de la comida o entrada en app de alimentación","Pendiente de vincular","Oxford - Poore & Nemecek 2018; estimación AHC","spa"
"ECO-ALI-005","Aprovechar sobras y restos de comida en nuevas recetas","En España se desperdician 31 kg de alimentos por persona y año; cada kg de alimento desperdiciado genera entre 2 y 5 kg CO2e","Alimentación","Reducción del desperdicio","ciudadano; familia","muy fácil","sin coste","30-100 kg CO2/año reduciendo desperdicio a la mitad","anual","1. Cuando termines de cenar guarda las sobras en un tupper etiquetado con la fecha | 2. Planifica que las sobras sean el almuerzo del día siguiente | 3. Aprende 3 recetas de aprovechamiento (croquetas, sopas, salteados) | 4. Revisa la nevera cada 3 días y usa lo que está a punto de caducar","Foto del plato de aprovechamiento","Pendiente de vincular","WRAP; estimación AHC","kitchen"
"ECO-ALI-006","Comprar a granel para reducir envases de plástico y CO2 de embalaje","Los envases representan el 30% del plástico producido globalmente; comprar a granel los elimina","Alimentación","Sostenibilidad y consumo responsable","ciudadano; familia","fácil","sin coste","2-8 kg de plástico/año evitados; 10-30 kg CO2/año","anual","1. Localiza tiendas a granel o secciones a granel en supermercados de tu zona | 2. Lleva tarros o bolsas de tela reutilizables | 3. Empieza por los productos que consumes más (legumbres, pasta, frutos secos) | 4. Compara precios: los productos a granel suelen ser más económicos","Foto de los tarros llenos en casa","Pendiente de vincular","estimación AHC; WRAP","storefront"
"ECO-ALI-007","Llevar fiambrera al trabajo en lugar de comprar comida envasada","Evitar envases de un solo uso en la comida del trabajo reduce plástico y CO2 de producción","Alimentación","Planificación y preparación de comidas","empleado; ciudadano","fácil","bajo","5-15 kg de plástico/año; 10-30 kg CO2/año","anual","1. Compra una fiambrera hermética de vidrio o acero inoxidable | 2. Aprovecha las sobras de la cena para preparar el tupper la noche anterior | 3. Lleva cubiertos reutilizables | 4. Indica a tus compañeros la iniciativa para generar efecto multiplicador","Foto del tupper preparado","Pendiente de vincular","estimación AHC","lunch_dining"
"ECO-ALI-008","Reducir el consumo de alimentos ultraprocesados","Los ultraprocesados tienen una huella de producción 2-5 veces mayor por kg que los alimentos frescos equivalentes","Alimentación","Dieta y proteínas","ciudadano; familia","moderada","sin coste","30-80 kg CO2/año reduciendo el 50% de ultraprocesados del carrito","anual","1. Lee el etiquetado: si tiene más de 5 ingredientes o ingredientes irreconocibles es ultraprocesado | 2. Cocina versiones caseras de productos que suelescomprar procesados (pan, salsas, snacks) | 3. Sustituye por frutas frescas o frutos secos en los snacks | 4. Reduce la frecuencia de pedidos a domicilio a máximo 1 vez/semana","Comparativa del carrito de la compra antes y después","Pendiente de vincular","NOVA classification; estimación AHC","no_food"
"ECO-CON-001","Comprar ropa de segunda mano en lugar de nueva","Producir una camiseta de algodón convencional emite 2,1 kg CO2 y consume 2.700 litros de agua","Consumo y compras","Moda sostenible","ciudadano; familia","fácil","sin coste","100-300 kg CO2/año sustituyendo el 50% de las compras de ropa","anual","1. Antes de comprar ropa nueva busca en Vinted, Wallapop o tiendas de segunda mano de tu ciudad | 2. Fíjate en la calidad y estado de las prendas | 3. Si compras nuevo elige marcas con certificación GOTS o de comercio justo | 4. Vende o dona la ropa que no usas","Captura de perfil en Vinted/Wallapop o ticket de tienda de segunda mano","Pendiente de vincular","Ellen MacArthur Foundation; estimación AHC","checkroom"
"ECO-CON-002","Reparar objetos antes de reemplazarlos","Reparar alarga la vida útil de los productos y evita las emisiones de fabricar uno nuevo","Consumo y compras","Reparación y reutilización","ciudadano; familia","moderada","bajo","50-150 kg CO2/año según tipo de objetos reparados","anual","1. Cuando algo se rompa busca un tutorial de reparación en YouTube antes de tirarlo | 2. Acude a un repair café o taller de barrio para reparaciones eléctricas o de costura | 3. Prioriza marcas que ofrecen piezas de recambio (Fairphone, iFixit) | 4. Aprende a coser botones y hacer remiendos básicos","Foto del objeto reparado antes y después","Pendiente de vincular","iFixit; Right to Repair Europe","build"
"ECO-CON-003","Llevar siempre bolsa de tela reutilizable a la compra","Cada bolsa de plástico desechable emite 0,01-0,04 kg CO2 y tarda 500 años en degradarse","Consumo y compras","Reducción de plásticos","ciudadano; familia","muy fácil","sin coste","1-4 kg CO2/año (50-200 bolsas de plástico evitadas)","anual","1. Guarda una bolsa de tela plegable en el bolso o mochila para tenerla siempre disponible | 2. Pon bolsas reutilizables en el coche o junto a la puerta | 3. Si olvidas la bolsa, lleva los productos sin bolsa si es posible | 4. Usa bolsas de malla reutilizables también para fruta y verdura","Foto de las bolsas reutilizables en uso en el supermercado","Pendiente de vincular","estimación AHC; Ellen MacArthur Foundation","shopping_bag"
"ECO-CON-004","Aplicar la regla de las 48 horas antes de cualquier compra impulsiva","Las compras impulsivas generan objetos no utilizados y aumentan innecesariamente la huella de producción","Consumo y compras","Consumo consciente y minimalismo","ciudadano; familia","fácil","sin coste","100-400 kg CO2/año evitando compras innecesarias","anual","1. Cuando sientas el impulso de comprar algo, anótalo en una lista de deseos | 2. Espera 48 horas antes de decidir si lo compras | 3. Pregúntate: ¿lo necesito realmente? ¿tengo algo parecido? ¿puedo pedirlo prestado? | 4. Si después de 48h todavía lo quieres y lo necesitas, compra de forma informada","Registro de compras evitadas en la lista de deseos (captura)","Pendiente de vincular","estimación AHC; The Minimalists","schedule"
"ECO-CON-005","Usar biblioteca pública en lugar de comprar libros y DVDs nuevos","Producir un libro nuevo emite aproximadamente 1 kg CO2; pedir prestado emite prácticamente 0","Consumo y compras","Reparación y reutilización","ciudadano; familia","muy fácil","sin coste","5-20 kg CO2/año según número de libros consumidos","anual","1. Localiza tu biblioteca pública más cercana y hazte el carné (gratuito) | 2. Usa el catálogo online para reservar libros sin desplazarte | 3. Para ebooks usa Libby o el servicio digital de tu biblioteca | 4. Participa en intercambios de libros o usa BookMooch","Carné de biblioteca o captura del catálogo digital","Pendiente de vincular","estimación AHC","local_library"
"ECO-CON-006","Reducir la huella digital eliminando correos y archivos innecesarios","Los centros de datos consumen el 1-2% de la electricidad mundial; limpiar datos reduce esa demanda","Consumo y compras","Consumo digital","ciudadano; empleado","muy fácil","sin coste","5-15 kg CO2/año eliminando 10.000 correos y liberando 50 GB de nube","anual","1. Elimina los correos electrónicos masivos y newsletters que no lees | 2. Descárgate archivos de Drive/iCloud que no necesites en la nube | 3. Cancela suscripciones a servicios de streaming que no uses | 4. Ajusta la calidad de streaming a lo necesario (no siempre 4K)","Captura del estado de la bandeja de entrada antes y después","Pendiente de vincular","The Shift Project; estimación AHC","cloud_off"
"ECO-CON-007","Elegir productos con etiqueta ecológica o certificación ambiental","Las etiquetas como Ángel Azul, Ecolabel UE o FSC garantizan criterios ambientales verificados","Consumo y compras","Consumo consciente y minimalismo","ciudadano; familia","fácil","variable","30-100 kg CO2/año según tipo de compras","anual","1. Aprende a reconocer las principales etiquetas: Ecolabel UE (flor verde), Ángel Azul, FSC, GOTS | 2. En limpieza busca productos con Ecolabel UE | 3. En madera y papel busca FSC o PEFC | 4. En textil busca GOTS o OEKO-TEX | 5. Compara con productos sin certificación para ver si la diferencia de precio es asumible","Foto del producto con etiqueta ecológica en casa","Pendiente de vincular","European Environment Agency; Ecolabel UE","verified"
"ECO-RES-001","Separar correctamente los residuos en las 5 fracciones","El reciclaje correcto evita que materiales valiosos acaben en vertederos y reduce emisiones de producción","Residuos y plásticos","Reciclaje","ciudadano; familia","fácil","sin coste","30-80 kg CO2/año en hogar de 3 personas separando correctamente","anual","1. Instala en casa 5 contenedores: orgánico (marrón), envases (amarillo), papel (azul), vidrio (verde), resto (gris) | 2. Consulta la guía de reciclaje de tu municipio para dudas | 3. Usa la app CleanApp o similar para localizar puntos de recogida especiales | 4. Lleva los residuos especiales (pilas, medicamentos, ropa) a los puntos de recogida","Foto del sistema de separación instalado en casa","Pendiente de vincular","MITECO - Plan PNIR; Ecoembes","recycling"
"ECO-RES-002","Compostar los residuos orgánicos en casa o punto comunitario","El 44% de los residuos municipales son orgánicos; compostar los convierte en abono y evita su descomposición en vertedero (metano)","Residuos y plásticos","Compostaje","ciudadano; familia; comunidad","moderada","bajo","80-200 kg CO2eq/año en hogar de 3 personas","anual","1. Consigue un compostador doméstico (en muchos municipios se regalan) | 2. Aprende qué va: restos de fruta, verdura, papel, restos de jardín | 3. Añade en capas: húmedo y seco alternados | 4. Remueve cada semana y mantén la humedad adecuada | 5. En 3-6 meses tendrás compost para plantas o huerto","Foto del compostador en proceso","Pendiente de vincular","ARC - Agència de Residus de Catalunya; MITECO","compost"
"ECO-RES-003","Sustituir el agua embotellada por agua de grifo o filtrada","Producir una botella de agua de plástico de 1,5 litros emite 0,3-0,6 kg CO2","Residuos y plásticos","Reducción de plásticos","ciudadano; familia","muy fácil","bajo","35-70 kg CO2/año bebiendo 2 litros/día filtrados en lugar de embotellar","anual","1. Consulta la calidad del agua de tu municipio en la web del ayuntamiento | 2. Si quieres mejorar el sabor instala un filtro de jarra (desde 20 €) o de grifo | 3. Compra una botella reutilizable de acero inoxidable o vidrio | 4. Lleva la botella siempre contigo para evitar comprar agua en plástico","Foto de la botella reutilizable y del filtro instalado","Pendiente de vincular","MITECO; AENOR - Agua de grifo en España","water_drop"
"ECO-RES-004","Sustituir envases desechables por reutilizables para café y comida","Los vasos de café desechables generan 25.000 toneladas de residuos al año en España","Residuos y plásticos","Reducción de plásticos","ciudadano; empleado","fácil","bajo","3-8 kg de plástico/año; 10-25 kg CO2/año","anual","1. Compra un termo o taza reutilizable de acero (desde 10 €) | 2. Pide el café en tu propio vaso en la cafetería — muchos establecimientos aplican descuento | 3. Usa una fiambrera reutilizable para llevar comida | 4. Rechaza pajitas, cubiertos y salsas en envase individual en restaurantes","Foto del termo/taza reutilizable en uso","Pendiente de vincular","estimación AHC; Greenpeace - Plásticos 2023","coffee"
"ECO-RES-005","Donar o vender objetos en lugar de tirarlos a la basura","Un sofá donado evita la extracción de materias primas y fabricación de uno nuevo (500-1.000 kg CO2)","Residuos y plásticos","Reutilización y economía circular","ciudadano; familia","fácil","sin coste","100-500 kg CO2/año según tipo de objetos","anual","1. Antes de tirar cualquier objeto pregúntate si alguien más lo puede usar | 2. Publica en Wallapop, Facebook Marketplace o grupos de barrio | 3. Lleva a tiendas de segunda mano (Humana, Cruz Roja, locales) | 4. Para objetos de valor dona a bancos de tiempo, bancos de alimentos o asociaciones del barrio","Foto de la publicación en plataforma de segunda mano o confirmación de donación","Pendiente de vincular","estimación AHC; Ellen MacArthur Foundation","volunteer_activism"
"ECO-RES-006","Evitar el uso de pajitas, cubiertos y bolsas de plástico desechables","España consume 5.000 millones de pajitas al año; prohibidas por la Ley de Residuos pero aún muy presentes","Residuos y plásticos","Reducción de plásticos","ciudadano; familia","muy fácil","sin coste","0,5-2 kg de plástico/año; 2-8 kg CO2/año","anual","1. Lleva en el bolso o mochila una pajita de bambú o acero reutilizable | 2. Al pedir en bares y restaurantes di explícitamente 'sin pajita' | 3. Lleva cubiertos de metal reutilizables para llevar | 4. En ferias o eventos rechaza los cubiertos desechables","Foto del kit reutilizable (pajita + cubiertos)","Pendiente de vincular","Ley 7/2022 de Residuos y Suelos Contaminados; estimación AHC","no_drinks"
"ECO-AGU-001","Recoger el agua fría de la ducha mientras se calienta","Se pierden entre 6 y 12 litros de agua antes de que salga caliente; esa agua sirve para regar o fregar","Agua","Ahorro en el baño","ciudadano; familia","muy fácil","sin coste","2.000-4.000 litros de agua/año","anual","1. Coloca un cubo o barreño en la ducha antes de abrir el grifo | 2. Cuando salga el agua caliente retira el cubo | 3. Usa esa agua para regar plantas, fregar el suelo o tirar de la cisterna | 4. Repite cada vez que te duches","Foto del cubo recogiendo agua en la ducha","Pendiente de vincular","AEMET; MITECO; estimación AHC","shower"
"ECO-AGU-002","Acortar la ducha a menos de 5 minutos","Cada minuto de ducha consume entre 9 y 15 litros de agua; una ducha de 10 minutos son 100-150 litros","Agua","Ahorro en el baño","ciudadano; familia","fácil","sin coste","10.000-30.000 litros/año en un hogar de 3 personas","anual","1. Pon el temporizador del móvil a 5 minutos antes de entrar en la ducha | 2. Mójate, cierra el grifo para enjabonarte y vuelve a abrir para aclarar | 3. Instala un cabezal de ducha de bajo flujo para reducir el caudal sin perder confort | 4. Anota en un papel el tiempo que tardas la primera semana para ser consciente","Captura del temporizador del móvil tras la ducha","Pendiente de vincular","MITECO; Agencia Catalana de l'Aigua","timer"
"ECO-AGU-003","Instalar un cabezal de ducha de bajo flujo","Reduce el caudal de 12-15 litros/minuto a 6-8 litros/minuto sin notar diferencia de confort","Agua","Eficiencia en el baño","ciudadano; familia","fácil","bajo","15.000-30.000 litros/año; 20-50 € de ahorro en factura de agua y calefacción","anual","1. Compra un cabezal de bajo flujo (< 20 €) en cualquier ferretería o Amazon | 2. Desmonta el cabezal antiguo con una llave inglesa | 3. Aplica cinta de teflón a la rosca y enrosca el nuevo | 4. Comprueba que no haya fugas y disfruta del ahorro","Foto del cabezal de bajo flujo instalado","Pendiente de vincular","MITECO; OCU","shower"
"ECO-AGU-004","Regar plantas y jardín por la noche o al amanecer","El riego diurno en verano evapora hasta el 30% del agua antes de llegar a las raíces","Agua","Riego eficiente","ciudadano; familia","muy fácil","sin coste","500-3.000 litros/año según tamaño del jardín o huerto","anual","1. Programa el temporizador de riego o pon una alarma para las 22h o las 6h | 2. Riega directamente en la base de las plantas, no en las hojas | 3. Usa sistemas de riego por goteo si tienes jardín o huerto | 4. Comprueba la humedad del suelo con el dedo antes de regar — si está húmedo espera","Foto del riego nocturno o del temporizador programado","Pendiente de vincular","Ministerio de Agricultura; MITECO","opacity"
