"codigo","nombre","categoria","subcategoria","perfiles","dificultad","coste","impacto_estimado_original","periodo","fuente_original","icono","tipo_calculo_inicial","prioridad_validacion","formula_visible_pendiente","factor_pendiente","unidad_pendiente","fuente_validada_pendiente","confianza_pendiente","responsable_ambiental","responsable_editorial","estado_recomendado","observaciones"
"ECO-ENE-010","Realizar una auditoría energética básica del hogar","Energía y vivienda","Eficiencia energética","ciudadano; familia","moderada","sin coste","Varía; identificar ahorros potenciales de 200-600 kg CO2/año","anual","IDAE - Guía de Ahorro y Eficiencia Energética","energy_savings_leaf","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-ALI-001","Reducir el consumo de carne de vacuno a máximo 1 vez por semana","Alimentación","Dieta y proteínas","ciudadano; familia","moderada","sin coste","300-600 kg CO2/año pasando de consumo diario a semanal","anual","FAO - Livestock's Long Shadow; MITECO","set_meal","CO2 estimado","Alta","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-ALI-002","Planificar el menú semanal antes de hacer la compra","Alimentación","Planificación y preparación de comidas","ciudadano; familia","muy fácil","sin coste","50-150 kg CO2/año reduciendo desperdicio en un hogar medio","anual","FAO; WRAP - The food we waste","menu_book","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-ALI-003","Comprar productos de temporada y proximidad","Alimentación","Apoyo a la agricultura local","ciudadano; familia","fácil","sin coste","80-200 kg CO2/año sustituyendo el 50% de la compra","anual","Manual de Buenas Prácticas AHC; CompartoClima","agriculture","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-ALI-004","Sustituir una comida diaria por una opción vegetal o vegetariana","Alimentación","Dieta y proteínas","ciudadano; familia","fácil","sin coste","150-400 kg CO2/año en función del punto de partida","anual","Oxford - Poore & Nemecek 2018; estimación AHC","spa","CO2 estimado","Alta","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-ALI-005","Aprovechar sobras y restos de comida en nuevas recetas","Alimentación","Reducción del desperdicio","ciudadano; familia","muy fácil","sin coste","30-100 kg CO2/año reduciendo desperdicio a la mitad","anual","WRAP; estimación AHC","kitchen","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-ALI-006","Comprar a granel para reducir envases de plástico y CO2 de embalaje","Alimentación","Sostenibilidad y consumo responsable","ciudadano; familia","fácil","sin coste","2-8 kg de plástico/año evitados; 10-30 kg CO2/año","anual","estimación AHC; WRAP","storefront","Plastico separado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-ALI-007","Llevar fiambrera al trabajo en lugar de comprar comida envasada","Alimentación","Planificación y preparación de comidas","empleado; ciudadano","fácil","bajo","5-15 kg de plástico/año; 10-30 kg CO2/año","anual","estimación AHC","lunch_dining","Plastico separado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-ALI-008","Reducir el consumo de alimentos ultraprocesados","Alimentación","Dieta y proteínas","ciudadano; familia","moderada","sin coste","30-80 kg CO2/año reduciendo el 50% de ultraprocesados del carrito","anual","NOVA classification; estimación AHC","no_food","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-CON-001","Comprar ropa de segunda mano en lugar de nueva","Consumo y compras","Moda sostenible","ciudadano; familia","fácil","sin coste","100-300 kg CO2/año sustituyendo el 50% de las compras de ropa","anual","Ellen MacArthur Foundation; estimación AHC","checkroom","CO2 estimado","Alta","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-CON-002","Reparar objetos antes de reemplazarlos","Consumo y compras","Reparación y reutilización","ciudadano; familia","moderada","bajo","50-150 kg CO2/año según tipo de objetos reparados","anual","iFixit; Right to Repair Europe","build","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-CON-003","Llevar siempre bolsa de tela reutilizable a la compra","Consumo y compras","Reducción de plásticos","ciudadano; familia","muy fácil","sin coste","1-4 kg CO2/año (50-200 bolsas de plástico evitadas)","anual","estimación AHC; Ellen MacArthur Foundation","shopping_bag","Plastico separado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-CON-004","Aplicar la regla de las 48 horas antes de cualquier compra impulsiva","Consumo y compras","Consumo consciente y minimalismo","ciudadano; familia","fácil","sin coste","100-400 kg CO2/año evitando compras innecesarias","anual","estimación AHC; The Minimalists","schedule","CO2 estimado","Alta","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-CON-005","Usar biblioteca pública en lugar de comprar libros y DVDs nuevos","Consumo y compras","Reparación y reutilización","ciudadano; familia","muy fácil","sin coste","5-20 kg CO2/año según número de libros consumidos","anual","estimación AHC","local_library","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-CON-006","Reducir la huella digital eliminando correos y archivos innecesarios","Consumo y compras","Consumo digital","ciudadano; empleado","muy fácil","sin coste","5-15 kg CO2/año eliminando 10.000 correos y liberando 50 GB de nube","anual","The Shift Project; estimación AHC","cloud_off","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-CON-007","Elegir productos con etiqueta ecológica o certificación ambiental","Consumo y compras","Consumo consciente y minimalismo","ciudadano; familia","fácil","variable","30-100 kg CO2/año según tipo de compras","anual","European Environment Agency; Ecolabel UE","verified","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-RES-001","Separar correctamente los residuos en las 5 fracciones","Residuos y plásticos","Reciclaje","ciudadano; familia","fácil","sin coste","30-80 kg CO2/año en hogar de 3 personas separando correctamente","anual","MITECO - Plan PNIR; Ecoembes","recycling","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-RES-002","Compostar los residuos orgánicos en casa o punto comunitario","Residuos y plásticos","Compostaje","ciudadano; familia; comunidad","moderada","bajo","80-200 kg CO2eq/año en hogar de 3 personas","anual","ARC - Agència de Residus de Catalunya; MITECO","compost","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-RES-003","Sustituir el agua embotellada por agua de grifo o filtrada","Residuos y plásticos","Reducción de plásticos","ciudadano; familia","muy fácil","bajo","35-70 kg CO2/año bebiendo 2 litros/día filtrados en lugar de embotellar","anual","MITECO; AENOR - Agua de grifo en España","water_drop","Agua separada","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","litros/año","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-RES-004","Sustituir envases desechables por reutilizables para café y comida","Residuos y plásticos","Reducción de plásticos","ciudadano; empleado","fácil","bajo","3-8 kg de plástico/año; 10-25 kg CO2/año","anual","estimación AHC; Greenpeace - Plásticos 2023","coffee","Plastico separado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-RES-005","Donar o vender objetos en lugar de tirarlos a la basura","Residuos y plásticos","Reutilización y economía circular","ciudadano; familia","fácil","sin coste","100-500 kg CO2/año según tipo de objetos","anual","estimación AHC; Ellen MacArthur Foundation","volunteer_activism","CO2 estimado","Alta","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-RES-006","Evitar el uso de pajitas, cubiertos y bolsas de plástico desechables","Residuos y plásticos","Reducción de plásticos","ciudadano; familia","muy fácil","sin coste","0,5-2 kg de plástico/año; 2-8 kg CO2/año","anual","Ley 7/2022 de Residuos y Suelos Contaminados; estimación AHC","no_drinks","Plastico separado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-AGU-001","Recoger el agua fría de la ducha mientras se calienta","Agua","Ahorro en el baño","ciudadano; familia","muy fácil","sin coste","2.000-4.000 litros de agua/año","anual","AEMET; MITECO; estimación AHC","shower","Agua separada","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","litros/año","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-AGU-002","Acortar la ducha a menos de 5 minutos","Agua","Ahorro en el baño","ciudadano; familia","fácil","sin coste","10.000-30.000 litros/año en un hogar de 3 personas","anual","MITECO; Agencia Catalana de l'Aigua","timer","Agua separada","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","litros/año","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-AGU-003","Instalar un cabezal de ducha de bajo flujo","Agua","Eficiencia en el baño","ciudadano; familia","fácil","bajo","15.000-30.000 litros/año; 20-50 € de ahorro en factura de agua y calefacción","anual","MITECO; OCU","shower","Agua separada","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","litros/año","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-AGU-004","Regar plantas y jardín por la noche o al amanecer","Agua","Riego eficiente","ciudadano; familia","muy fácil","sin coste","500-3.000 litros/año según tamaño del jardín o huerto","anual","Ministerio de Agricultura; MITECO","opacity","Agua separada","Alta","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","litros/año","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-AGU-005","Revisar y reparar fugas de agua en el hogar","Agua","Mantenimiento del hogar","ciudadano; familia","moderada","bajo","3.000-70.000 litros/año según el tipo de fuga","anual","MITECO; OCU - Ahorro de agua","plumbing","Agua separada","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","litros/año","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-FIN-001","Abrir cuenta corriente o de ahorro en una banca ética","Finanzas sostenibles","Banca ética","ciudadano; familia","moderada","sin coste","Impacto indirecto: cada 10.000 € en banca ética evita financiar aprox. 10 toneladas CO2/año","anual","Observatorio de Finanzas Sostenibles; Triodos Bank","savings","Impacto indirecto","Alta","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-FIN-002","Revisar el fondo de pensiones y desinvertir de combustibles fósiles","Finanzas sostenibles","Inversión responsable","ciudadano; empleado","avanzada","sin coste","Impacto indirecto: redirigir 1.000 € de fósiles a renovables equivale a evitar 0,1 toneladas CO2/año","anual","MSCI ESG Ratings; Morningstar Sustainability Rating","trending_up","Impacto indirecto","Alta","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-OCI-001","Participar en una limpieza comunitaria de tu barrio o entorno natural","Ocio, cuidados y comunidad","Participación comunitaria","ciudadano; familia; comunidad","fácil","sin coste","Impacto directo: kg de residuos retirados del entorno; impacto colectivo incalculable","anual","estimación AHC; campaña Let's Do It World","cleaning_services","Pendiente de clasificar","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-OCI-002","Compartir herramientas y objetos de uso esporádico con vecinos","Ocio, cuidados y comunidad","Comunidad y colaboración","ciudadano; familia; comunidad","fácil","sin coste","50-200 kg CO2/año por cada objeto compartido en lugar de comprado","anual","estimación AHC; Shareable.net","handshake","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
